,title,author,time
0,정신건강 관련 특강 마음 면역 시리즈 실시(국립대학육성사업),학생상담센터,2020-09-11
1,2021학년도 1학기 일본권 파견 교환학생 모집 공고,국제교류부,2020-09-08
2,2020학년도 2학기 교과목 이수구분 변경(재이수)신청 안내,학사관리과,2020-09-03
3,2020학년도 학부 코로나19 특별장학금 신청 안내(2차),학생복지과,2020-08-21
4,2020-2학기 재(복)학생 등록금 분할납부 신청 및 납부 안내,재무과,2020-08-12
5,2020-2학기 재(복)학생 등록금 납부 안내<수업연한경...,재무과,2020-07-26
6,코로나19 예방 수칙 (최신본),관리자,2020-03-11
7,▶2020 '창의충전소' 개최 - 참가신청 안내◀,공학교육혁신센터,2020-09-14 15:48
8,[OCU컨소시엄] 시스템사용료 납부기간 연장 및 출석 안내,학사관리과,2020-09-14 15:37
9,★대(공)기업 직무적성검사 온라인 모의고사 실시 안내★,인재개발원,2020-09-14 15:02
10,[채용공고] 강의제작 운영 지원 온라인 원격 도우미 채용 공고,학사관리과,2020-09-14 14:41
11,[채용공고] 부경대학교 4차 산업혁명 혁신선도대학 사업단 교육지원 ...,4차 산업혁명 혁신선도대학 사업단,2020-09-14 13:47
12,2020-2학기 중소기업 취업연계 장학금(희망사다리1) 학생 신청 ...,학생복지과,2020-09-14 13:32
13,입시업무 지원 일용직원 채용공고,입학관리과,2020-09-14 13:28
14,▶▶▶  [입학본부]저소득층 재학생 생활관비(기숙사비) 지원 신청 ...,입학관리과,2020-09-14 10:15
15,★ 주간식단표(2020.09.14.~2020.09.18.)알려드립니다.,학생복지과,2020-09-14 08:52
16,"2021년 2, 8월 학부 졸업예정자 졸업앨범 실내 촬영 장소 변경",학생복지과,2020-09-12
17,"2021년 2, 8월 학부 졸업예정자 졸업앨범 실내 촬영 장소 변경",학생복지과,2020-09-12
18,"2021년 2, 8월 학부 졸업예정자 졸업앨범 실내 촬영장소 변경",학생복지과,2020-09-12
19,"2021년 2, 8월 학부 졸업예정자 졸업앨범 실내 촬영장소 변경",학생복지과,2020-09-12
20,정신건강 관련 특강 마음 면역 시리즈 실시(국립대학육성사업),학생상담센터,2020-09-11
21,▶2020-2학기 캡스톤디자인 지원사업 과제모집 안내(공학교육혁신센터)◀,공학교육혁신센터,2020-09-11
