,title,author,time
0,2020학년도 방학 집중근로 장학생 선발결과 안내,학생복지과,2020-06-12
1,[2020-2학기]학생생활관 입실생 모집공고,학생생활관,2020-06-08
2,정신건강관련 특강 마음면역 시리즈 안내,학생상담센터,2020-06-08
3,인사신문고(e-사람 및 인사혁신처 홈페이지) 이용 방법 안내,총무과,2020-04-28
4,코로나19 예방 수칙 (최신본),관리자,2020-03-11
5,2020학년도 대학생 청소년교육지원장학금 나눔지기 모집 공고,학생복지과,2020-06-15 13:58
6,[채용공고] 부경대학교 산학연협력단지조성사업단 사무원(기간제 계약직...,산학연협력단지 조성사업단,2020-06-15 10:56
7,부경대학교 LINC+사업단 사무원(기간제계약직원) 채용 최종합격자 공고,링크플러스사업단,2020-06-15 09:32
8,★ 주간식단표(2020.06.15.~2020.06.19.)를 알려드립니다,학생복지과,2020-06-13
9,2020-1학기 방학중 국가근로 대학신청 안내,학생복지과,2020-06-12
10,2020학년도 방학 집중근로 장학생 선발결과 안내,학생복지과,2020-06-12
11,2020년 이노폴리스캠퍼스사업 (예비)창업자 모집,창업지원단,2020-06-11
12,2020-하계 Running Circle(구. 부경학습동아리) 참가...,미래교육혁신본부,2020-06-11
13,★기업맞춤형 산학협력 프로젝트(기업-학생-변리사) 참여기업 모집★,취업연계 IP지역인재양성사업단,2020-06-11
14,2020 상반기 온라인 캠프 실시 안내,인재개발원,2020-06-11
15,경영대학 경영학부 조교 채용 공고,경영대학,2020-06-10
16,(채용공고)수산과학대학 해양바이오신소재학과 조교 채용 공고,수산과학대학,2020-06-10
17,[기말고사 대면실시 대상]학생생활관 입실 신청 안내,학생생활관,2020-06-10
18,부경대학교 LINC+사업단 사무원(기간제계약직원) 채용 서류전형 합...,링크플러스사업단,2020-06-10
19,<2020-후기 1차>수산과학대학 전임교원 신규채용 학부(과...,수산과학대학,2020-06-09
20,2020학년도 방학 집중근로 장학생 선발결과 안내,학생복지과,2020-06-12
21,[2020-2학기]학생생활관 입실생 모집공고,학생생활관,2020-06-08
22,정신건강관련 특강 마음면역 시리즈 안내,학생상담센터,2020-06-08
23,인사신문고(e-사람 및 인사혁신처 홈페이지) 이용 방법 안내,총무과,2020-04-28
24,코로나19 예방 수칙 (최신본),관리자,2020-03-11
25,<2020-후기 1차>인문사회과학대학 전임교원 신규채용 학부...,인문사회과학대학,2020-06-08
26,환경·해양대학 <2020-후기1차> 교수공개채용을 위한 외국...,환경·해양대학,2020-06-08
27,[취업연계 IP지역인재양성사업] ★2020 부산지역 특허전략 경진대...,취업연계 IP지역인재양성사업단,2020-06-08
28,[2020-2학기]학생생활관 입실생 모집공고,학생생활관,2020-06-08
29,정신건강관련 특강 마음면역 시리즈 안내,학생상담센터,2020-06-08
30,★ 주간식단표(2020.06.08.~2020.06.12.)를 알려드...,학생복지과,2020-06-08
31,깨우세요! 내 안의 금연본능,보건진료소,2020-06-05
32,공과대학<2020-후기 1차> 전임교원 신규채용 외국어강의평...,공과대학,2020-06-05
33,인문한국플러스(HK+)사업단 <2020-후기 1차> 교수공채...,인문한국플러스 사업단,2020-06-05
34,[교육대학원] 2020 예비교사 현장역량강화를 위한 교육학 스터디 ...,교육대학원,2020-06-05
35,부경대학교 대학 SNS 영상팀 모집(촬영편집/아나운서(리포터)),대외협력과,2020-06-04
36,부경대학교 드래곤밸리 청년일자리 프로젝트 및 청년 소셜리빙랩 프로젝...,링크플러스사업단,2020-06-04
37,★2020년 부경대학교 창업동아리 모집★,창업지원단,2020-06-03
38,2020년 7월 부경대학교 용당캠퍼스 운동장 사용 추첨 공고 안내,총무과,2020-06-03
39,생활 속 거리 두기 세부지침(제2판)에 따른 하절기 에어컨 사용 안내,시설과,2020-06-03
40,2020학년도 방학 집중근로 장학생 선발결과 안내,학생복지과,2020-06-12
41,[2020-2학기]학생생활관 입실생 모집공고,학생생활관,2020-06-08
42,정신건강관련 특강 마음면역 시리즈 안내,학생상담센터,2020-06-08
43,인사신문고(e-사람 및 인사혁신처 홈페이지) 이용 방법 안내,총무과,2020-04-28
44,코로나19 예방 수칙 (최신본),관리자,2020-03-11
45,총장임용추천위원장(교수회장) 월권행위 규탄 집회 및 기자회견 안내,공무원노조 부경대지부,2020-06-02
46,2020 상반기 인천시 대학생 학자금대출 이자 지원 사업 안내,학생복지과,2020-06-02
47,★2020학년도 중소기업 계약학과 편입생 모집★,산학협력단,2020-06-01
48,♥ (600만원 지원) 지역 중소기업 R&D 산업인턴지원사업 학생모집 ♥,산업인턴지원사업단,2020-06-01
49,파라다이스카페 운영 변경,소비자생활협동조합,2020-05-29
50,★ 주간식단표(2020.06.01.~2020.06.05.)를 알려드...,학생복지과,2020-05-29
51,도서관 마일리지 장학 사업 안내,도서관,2020-05-28
52,2020년 제21기 하계 대학생 재능봉사 캠프사업 대학생 멘토 모집 공고,학생복지과,2020-05-27
53,2020 알리바바 글로벌 창업경진대회 개최 안내,창업지원단,2020-05-27
54,[일반대학원]2020학년도 후기 정시 일반대학원 구술고사 장소 및 ...,대학원,2020-05-27
55,[일반대학원]2020학년도 후기 추가 일반대학원 신입생 모집요강,대학원,2020-05-27
56,제7대 부경대학교총장임용후보자선거 선거일등 공고 안내,총장임용추천위원회,2020-05-27
57,부경대학교 LINC+사업단 사무원(기간제계약직원) 채용 공고,링크플러스사업단,2020-05-27
58,"부경대 생협 카페쿠폰,식당식권 행사판매",소비자생활협동조합,2020-05-27
59,부경대학교 LINC+사업단 사무원(기간제계약직원) 채용 최종합격자 공고,링크플러스사업단,2020-05-26
